city,variable,indicator_name,dimension,combined_weight,standardized_value,deviation_degree,weighted_deviation,obstacle_degree,obstacle_rank_in_city
泰州市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.197518183,0.802481817,0.038661479,0.056362406,11
泰州市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0.108689907,0.891310093,0.038317201,0.055860503,12
泰州市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0,1,0.059827845,0.087219668,1
泰州市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0,1,0.058469874,0.085239957,4
泰州市,gdp_亿元,GDP,产业承载能力,0.064780719,0.234355139,0.765644861,0.049599025,0.072307643,8
泰州市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.403270581,0.596729419,0.042690049,0.062235434,10
泰州市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.26939673,0.73060327,0.053488603,0.077978041,7
泰州市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.9875,0.0125,0.00090691,0.001322133,16
泰州市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.077740222,0.922259778,0.054995196,0.080174419,6
泰州市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.236640014,0.763359986,0.058828768,0.085763168,3
泰州市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.488261609,0.511738391,0.029022621,0.042310455,14
泰州市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.836260331,0.163739669,0.010385691,0.015140718,15
泰州市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.291695264,0.708304736,0.055550349,0.080983746,5
泰州市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.17724626,0.82275374,0.044854429,0.065390762,9
宿迁市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0,1,0.051233915,0.066503672,8
宿迁市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0,1,0.067433161,0.087530941,4
宿迁市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0,1,0.048177389,0.062536179,10
宿迁市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0,1,0.042989753,0.05580242,11
宿迁市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0,1,0.059827845,0.077658938,6
宿迁市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0,1,0.058469874,0.075896237,7
宿迁市,gdp_亿元,GDP,产业承载能力,0.064780719,0.016787717,0.983212283,0.063693199,0.082676321,5
宿迁市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0,1,0.071540045,0.092861841,3
宿迁市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0,1,0.073211557,0.095031531,2
宿迁市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.68125,0.31875,0.023126198,0.03001873,13
宿迁市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.145340415,0.854659585,0.050964135,0.066153487,9
宿迁市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.831159718,0.168840282,0.013011771,0.0168898,15
宿迁市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.600089258,0.399910742,0.022680452,0.029440134,14
宿迁市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.900826446,0.099173554,0.006290387,0.008165174,16
宿迁市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0,1,0.078427189,0.10180163,1
宿迁市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.278847242,0.721152758,0.039315403,0.051032967,12
